Median House Price,Median Income,Median Age,Total Rooms,Total Bedrooms,Population,Total Houses,Latitude,Longitude
453000.00,8.33,41.00,880.00,129.00,322.00,126.00,37.90,-122.00
359000.00,8.30,21.00,7100.00,1110.00,2400.00,1140.00,37.90,-122.00
352000.00,7.26,52.00,1470.00,190.00,496.00,177.00,37.90,-122.00
341000.00,5.64,52.00,1270.00,235.00,558.00,219.00,37.90,-122.00
342000.00,3.85,52.00,1630.00,280.00,565.00,259.00,37.90,-122.00
270000.00,4.04,52.00,919.00,213.00,413.00,193.00,37.90,-122.00
299000.00,3.66,52.00,2540.00,489.00,1090.00,514.00,37.80,-122.00
241000.00,3.12,52.00,3100.00,687.00,1160.00,647.00,37.80,-122.00
227000.00,2.08,42.00,2560.00,665.00,1210.00,595.00,37.80,-122.00
261000.00,3.69,52.00,3550.00,707.00,1550.00,714.00,37.80,-122.00
282000.00,3.20,52.00,2200.00,434.00,910.00,402.00,37.90,-122.00
242000.00,3.27,52.00,3500.00,752.00,1500.00,734.00,37.90,-122.00
214000.00,3.08,52.00,2490.00,474.00,1100.00,468.00,37.90,-122.00
191000.00,2.67,52.00,696.00,191.00,345.00,174.00,37.80,-122.00
159000.00,1.92,52.00,2640.00,626.00,1210.00,620.00,37.90,-122.00
140000.00,2.13,50.00,1120.00,283.00,697.00,264.00,37.90,-122.00
153000.00,2.77,52.00,1970.00,347.00,793.00,331.00,37.90,-122.00
156000.00,2.12,52.00,1230.00,293.00,648.00,303.00,37.90,-122.00
159000.00,1.99,50.00,2240.00,455.00,990.00,419.00,37.80,-122.00
163000.00,2.60,52.00,1500.00,298.00,690.00,275.00,37.80,-122.00
148000.00,1.36,40.00,751.00,184.00,409.00,166.00,37.90,-122.00
160000.00,1.71,42.00,1640.00,367.00,929.00,366.00,37.90,-122.00
114000.00,1.73,52.00,2440.00,541.00,1020.00,478.00,37.80,-122.00
99700.00,2.18,52.00,1690.00,337.00,853.00,325.00,37.80,-122.00
133000.00,2.60,52.00,2220.00,437.00,1010.00,422.00,37.80,-122.00
108000.00,2.40,41.00,535.00,123.00,317.00,119.00,37.90,-122.00
93800.00,2.46,49.00,1130.00,244.00,607.00,239.00,37.90,-122.00
106000.00,1.81,52.00,1900.00,421.00,1100.00,397.00,37.90,-122.00
109000.00,1.64,50.00,2080.00,492.00,1130.00,473.00,37.80,-122.00
132000.00,1.69,52.00,729.00,160.00,395.00,155.00,37.80,-122.00
122000.00,1.93,49.00,1920.00,447.00,863.00,378.00,37.80,-122.00
115000.00,1.96,52.00,2150.00,481.00,1170.00,441.00,37.80,-122.00
110000.00,1.80,48.00,1920.00,409.00,1030.00,335.00,37.80,-122.00
105000.00,1.38,49.00,1660.00,366.00,754.00,329.00,37.80,-122.00
110000.00,2.73,51.00,2670.00,574.00,1260.00,536.00,37.80,-122.00
97200.00,1.49,49.00,1220.00,282.00,570.00,264.00,37.80,-122.00
105000.00,1.10,48.00,1800.00,432.00,987.00,374.00,37.80,-122.00
104000.00,1.41,52.00,1510.00,390.00,901.00,403.00,37.80,-122.00
191000.00,3.48,52.00,1470.00,330.00,689.00,309.00,37.80,-122.00
176000.00,2.59,52.00,2430.00,715.00,1380.00,696.00,37.80,-122.00
155000.00,2.10,52.00,1670.00,419.00,946.00,395.00,37.80,-122.00
150000.00,1.29,51.00,936.00,311.00,517.00,249.00,37.80,-122.00
119000.00,1.02,49.00,713.00,202.00,462.00,189.00,37.80,-122.00
189000.00,3.96,52.00,950.00,202.00,467.00,198.00,37.80,-122.00
184000.00,3.01,52.00,1440.00,311.00,660.00,292.00,37.80,-122.00
182000.00,2.68,52.00,1660.00,420.00,718.00,382.00,37.80,-122.00
143000.00,2.03,50.00,1130.00,322.00,616.00,304.00,37.80,-122.00
138000.00,1.73,43.00,1010.00,312.00,558.00,253.00,37.80,-122.00
188000.00,0.95,40.00,624.00,195.00,423.00,160.00,37.80,-122.00
113000.00,1.77,40.00,946.00,375.00,700.00,352.00,37.80,-122.00
172000.00,0.92,21.00,896.00,453.00,735.00,438.00,37.80,-122.00
93800.00,1.50,43.00,1870.00,456.00,1060.00,407.00,37.80,-122.00
97500.00,1.11,41.00,3220.00,853.00,1960.00,720.00,37.80,-122.00
