Median House Price,Median Income,Median Age,Total Rooms,Total Bedrooms,Population,Total Houses,Latitude,Longitude,Rate
103000,4.15,10,829,146,447,173,35.3,-119,Cheap
81600,3.64,10,7400,1370,4610,1310,35.3,-119,Cheap
70000,2.6,23,4870,965,2720,928,35.3,-119,Cheap
74800,2.1,19,7090,1520,4100,1440,35.3,-119,Cheap
80900,3.91,7,8600,1600,4890,1520,35.3,-119,Cheap
97900,2.58,25,3080,635,1830,591,35.3,-119,Cheap
118000,5.15,5,6270,1000,3270,980,35.2,-119,Cheap
65000,3.13,6,80,16,66,21,35.2,-119,Cheap
77500,2.77,10,7010,1450,4160,1310,35.3,-119,Cheap
91700,2.35,40,282,59,213,71,35.2,-119,Cheap
150000,1.15,32,444,102,242,87,35.3,-119,Cheap
114000,3.5,24,806,168,323,136,34.8,-119,Cheap
117000,2.99,18,3280,762,1340,550,34.8,-119,Cheap
124000,3.14,30,2820,604,1090,412,34.8,-119,Cheap
168000,4.57,6,8730,1600,2010,736,34.8,-119,Cheap
148000,3.09,14,4050,787,1580,579,35,-119,Cheap
128000,4.03,8,508,111,229,84,34.8,-119,Cheap
52100,2.92,21,2210,458,1250,440,35.1,-119,Cheap
30000,2.64,45,973,183,500,177,35.1,-119,Cheap
68200,4.15,26,890,172,483,170,35.2,-119,Cheap
57900,3.07,23,3830,696,1990,617,35.3,-120,Cheap
37500,3.13,36,116,20,39,18,35.2,-119,Cheap
52900,2.39,34,3440,696,1780,608,35.2,-119,Cheap
50800,2.83,40,4160,812,2000,773,35.2,-119,Cheap
45800,2.53,30,2940,697,1570,584,35.1,-119,Cheap
88300,3.99,19,4190,690,1970,702,35.1,-119,Cheap
75400,3.16,33,5050,964,2290,919,35.1,-119,Cheap
26600,2.3,34,1440,309,808,294,35.1,-119,Cheap
26900,2.2,46,2750,543,1420,482,35.1,-119,Cheap
63800,3,44,4600,877,2140,831,35.1,-119,Cheap
69800,1.97,32,2170,421,1300,394,35.4,-119,Cheap
105000,2.85,24,2590,480,1440,424,35.4,-119,Cheap
96900,4.46,12,5590,941,3020,917,35.4,-119,Cheap
88900,3.25,22,984,176,451,170,35.4,-119,Cheap
94300,4.59,13,1260,202,552,187,35.4,-119,Cheap
149000,4.41,12,2840,471,1400,413,35.4,-119,Cheap
157000,5.31,6,7380,1100,3420,1060,35.4,-119,Cheap
121000,4.42,18,1520,269,706,279,35.4,-119,Cheap
82800,2.95,37,2040,394,894,359,35.4,-119,Cheap
146000,4.83,13,4530,713,2170,671,35.4,-119,Cheap
110000,2.16,36,1250,259,932,249,35.5,-119,Cheap
37500,2.23,36,786,194,573,134,35.5,-119,Cheap
65400,2.35,39,2650,572,1820,547,35.5,-119,Cheap
78600,4.24,38,2540,409,1130,430,35.5,-119,Cheap
61100,2.83,34,1370,329,796,319,35.5,-119,Cheap
95800,3.23,28,1090,179,544,190,35.5,-119,Cheap
65800,2.4,34,1920,379,1100,351,35.5,-119,Cheap
58600,1.69,28,3110,782,3260,738,35.5,-119,Cheap
52100,1.71,21,2170,483,1320,450,35.5,-119,Cheap
64600,2.21,34,2300,437,1510,403,35.5,-119,Cheap
58800,2.5,16,1580,309,1010,268,35.6,-119,Cheap
125000,2.7,29,510,84,236,73,35.5,-119,Cheap
63200,1.19,13,1660,362,1190,376,35.6,-119,Cheap
71900,2.39,33,3240,654,1810,616,35.6,-119,Cheap
59000,1.94,33,2140,488,1730,509,35.6,-119,Cheap
60500,1.46,32,2700,683,2680,675,35.6,-119,Cheap
71800,3.18,14,2720,502,1500,457,35.6,-119,Cheap
54100,1.79,20,3090,691,2650,676,35.6,-119,Cheap
47500,2.12,18,820,239,1350,207,35.6,-120,Cheap
80000,2.61,21,2400,483,1650,415,35.6,-120,Cheap
156000,2.56,30,735,137,421,113,35.8,-119,Cheap
59800,2.13,15,3940,789,3500,768,35.8,-119,Cheap
83300,2.67,29,1480,220,902,205,35.6,-119,Cheap
58500,2.52,21,1890,398,1540,388,35.7,-119,Cheap
55200,1.88,16,2870,677,3080,651,35.7,-119,Cheap
54700,2,32,3220,750,2640,709,35.7,-119,Cheap
59800,2.74,27,1510,342,1350,323,35.8,-119,Cheap
56500,1.68,35,1620,378,1450,398,35.8,-119,Cheap
57300,1.6,36,2330,656,2180,610,35.8,-119,Cheap
52100,1.52,36,1600,443,1660,417,35.8,-119,Cheap
62200,1.74,8,3270,797,2700,688,35.8,-119,Cheap
69900,2.3,35,1930,386,1370,414,35.8,-119,Cheap
67200,2.18,8,1610,343,1230,330,35.8,-119,Cheap
62100,2.31,31,2860,606,2470,600,35.8,-119,Cheap
67800,1.78,28,1740,521,1760,514,35.8,-119,Cheap
72500,2.4,36,3230,635,2030,593,35.8,-119,Cheap
68400,2.03,16,2280,659,1910,614,35.7,-119,Cheap
84000,4.19,26,2640,468,1420,485,35.8,-119,Cheap
216000,6.29,6,1760,280,664,254,35.5,-119,Expensive
82500,2.58,20,3460,651,1470,621,35.4,-119,Cheap
204000,6.16,13,1440,237,557,227,35.4,-119,Expensive
92300,1.84,18,2330,642,799,335,35.7,-118,Cheap
67500,2.25,15,1960,403,730,321,35.7,-118,Cheap
96000,2.63,23,3170,700,1100,493,35.8,-118,Cheap
81200,2.07,18,4750,1080,1370,690,35.7,-118,Cheap
101000,1.6,18,3300,814,986,522,35.7,-119,Cheap
90000,1.42,28,1490,408,98,48,35.7,-119,Cheap
94600,3.48,33,1500,325,584,223,35.6,-119,Cheap
59400,1.84,17,2350,514,775,380,35.5,-118,Cheap
72500,1.57,15,2970,669,1010,465,35.6,-118,Cheap
96900,2.31,15,5910,1260,2310,1000,35.6,-118,Cheap
75800,1.41,18,2300,527,782,390,35.6,-118,Cheap
68500,1.3,17,2250,535,927,427,35.6,-118,Cheap
67300,1.62,17,4000,930,1610,731,35.6,-118,Cheap
69700,1.88,16,5400,1180,1800,807,35.6,-118,Cheap
78400,2.55,13,2270,601,756,276,35.5,-119,Cheap
55000,3.63,35,2920,594,1870,432,35.7,-118,Cheap
42100,2.04,33,2580,564,1160,431,35.6,-118,Cheap
72000,2.8,18,2740,589,1130,533,35.6,-118,Cheap
81900,3.33,15,2700,576,1250,513,35.6,-118,Cheap
87500,4.02,5,1130,276,520,232,35.6,-118,Cheap
109000,5.86,8,2680,416,1150,399,35.6,-118,Cheap
95700,5.2,15,3250,573,1410,586,35.6,-118,Cheap
116000,6.19,6,2120,342,927,337,35.6,-118,Cheap
63500,3.07,32,3660,787,1610,706,35.6,-118,Cheap
105000,6.07,18,4330,641,1780,661,35.6,-118,Cheap
109000,5.58,5,3150,482,1340,428,35.6,-118,Cheap
71900,3.59,18,2660,496,1430,483,35.6,-118,Cheap
84500,3.6,9,4240,832,1930,742,35.6,-118,Cheap
103000,6.05,12,1680,241,765,281,35.6,-118,Cheap
70200,3.86,16,2680,483,1470,487,35.6,-118,Cheap
52400,2.15,30,2990,741,1480,581,35.6,-118,Cheap
83200,4.25,10,2660,506,1350,501,35.6,-118,Cheap
85700,4.15,11,5900,1140,2730,1070,35.6,-118,Cheap
87200,4.85,5,5740,932,2620,862,35.6,-118,Cheap
91700,2.58,14,1740,391,850,317,35.6,-118,Cheap
101000,3.93,12,2010,372,1030,356,35.6,-118,Cheap
143000,5.56,9,3810,605,1520,568,35.5,-118,Cheap
54300,1.9,19,1120,290,598,261,35.6,-118,Cheap
91800,4.15,13,2570,449,1180,414,35.7,-118,Cheap
98000,5.08,11,1750,316,765,296,35.5,-118,Cheap
81700,3.18,15,2360,484,1110,442,35.6,-118,Cheap
50800,2,28,1910,486,858,371,35.4,-118,Cheap
86500,3.4,21,1740,425,945,362,35,-118,Cheap
71800,3.37,30,2560,510,1350,467,35,-118,Cheap
275000,1.63,4,18,3,8,6,35.2,-118,Expensive
138000,2.38,4,2,2,6,2,35.2,-118,Cheap
68500,3.39,15,1930,361,917,316,35.1,-118,Cheap
81900,3.54,5,4850,920,2500,847,35.1,-118,Cheap
104000,4.25,4,2630,502,1150,422,35.1,-118,Cheap
142000,4.88,1,83,15,32,15,35.1,-118,Cheap
84500,4.57,4,923,166,352,135,35.1,-118,Cheap
87800,2.88,15,2180,416,960,370,35.2,-118,Cheap
